#wavelength(A)	transmittance
3600	0.40
3700	0.54
3800	0.67
3900	0.76
4000	0.81
4100	0.84
4200	0.86
4300	0.87
4400	0.88
4500	0.89
4600	0.89
4700	0.89
4800	0.89
4900	0.89
5000	0.89
5100	0.90
5200	0.90
5300	0.91
5400	0.92
5500	0.92
5600	0.93
5700	0.93
5800	0.94
5900	0.94
6000	0.94
6100	0.94
6200	0.94
6300	0.93
6400	0.93
6500	0.93
6600	0.93
6700	0.92
6800	0.92
6900	0.92
7000	0.92
7100	0.92
7200	0.92
7300	0.92
7400	0.92
7500	0.92
7600	0.92
7700	0.92
7800	0.92
7900	0.92
8000	0.92
8100	0.92
8200	0.91
8300	0.91
8400	0.90
8500	0.90
8600	0.90
8700	0.90
8800	0.89
8900	0.89
9000	0.88
9100	0.87
9200	0.86
9300	0.85
9400	0.84
9500	0.82
9600	0.81
9700	0.80
9800	0.78
9900	0.77
10000	0.76
